Year,Month,percent,regionId,date,regionName
1925,Jun,-40,1,1925 Jun,Global
1925,Jul,-41,1,1925 Jul,Global
1925,Aug,-8,1,1925 Aug,Global
1925,Sep,-29,1,1925 Sep,Global
1925,Oct,-34,1,1925 Oct,Global
1925,Nov,-1,1,1925 Nov,Global
1925,Dec,19,1,1925 Dec,Global
1926,Jan,26,1,1926 Jan,Global
1926,Feb,28,1,1926 Feb,Global
1926,Mar,21,1,1926 Mar,Global
1926,Apr,-11,1,1926 Apr,Global
1926,May,-36,1,1926 May,Global
1926,Jun,-21,1,1926 Jun,Global
1926,Jul,-16,1,1926 Jul,Global
1926,Aug,3,1,1926 Aug,Global
1926,Sep,2,1,1926 Sep,Global
1926,Oct,-11,1,1926 Oct,Global
1926,Nov,4,1,1926 Nov,Global
1926,Dec,-24,1,1926 Dec,Global
1927,Jan,-18,1,1927 Jan,Global
1927,Feb,-18,1,1927 Feb,Global
1927,Mar,-38,1,1927 Mar,Global
1927,Apr,-34,1,1927 Apr,Global
1927,May,-29,1,1927 May,Global
1927,Jun,-26,1,1927 Jun,Global
1927,Jul,-4,1,1927 Jul,Global
1927,Aug,-25,1,1927 Aug,Global
1927,Sep,-11,1,1927 Sep,Global
1927,Oct,14,1,1927 Oct,Global
1927,Nov,12,1,1927 Nov,Global
1927,Dec,-24,1,1927 Dec,Global
1928,Jan,6,1,1928 Jan,Global
1928,Feb,-1,1,1928 Feb,Global
1928,Mar,-10,1,1928 Mar,Global
1928,Apr,-7,1,1928 Apr,Global
1928,May,-39,1,1928 May,Global
1928,Jun,-56,1,1928 Jun,Global
1928,Jul,-6,1,1928 Jul,Global
1928,Aug,-3,1,1928 Aug,Global
1928,Sep,2,1,1928 Sep,Global
1928,Oct,-4,1,1928 Oct,Global
1928,Nov,9,1,1928 Nov,Global
1928,Dec,-4,1,1928 Dec,Global
1929,Jan,-28,1,1929 Jan,Global
1929,Feb,-51,1,1929 Feb,Global
1929,Mar,-36,1,1929 Mar,Global
1929,Apr,-43,1,1929 Apr,Global
1929,May,-41,1,1929 May,Global
1929,Jun,-44,1,1929 Jun,Global
1929,Jul,-37,1,1929 Jul,Global
1929,Aug,-36,1,1929 Aug,Global
1929,Sep,-19,1,1929 Sep,Global
1929,Oct,2,1,1929 Oct,Global
1929,Nov,-3,1,1929 Nov,Global
1929,Dec,-59,1,1929 Dec,Global
1930,Jan,-22,1,1930 Jan,Global
1930,Feb,-20,1,1930 Feb,Global
1930,Mar,-5,1,1930 Mar,Global
1930,Apr,-22,1,1930 Apr,Global
1930,May,-16,1,1930 May,Global
1930,Jun,-22,1,1930 Jun,Global
1930,Jul,-20,1,1930 Jul,Global
1930,Aug,-17,1,1930 Aug,Global
1930,Sep,-12,1,1930 Sep,Global
1930,Oct,-27,1,1930 Oct,Global
1930,Nov,11,1,1930 Nov,Global
1930,Dec,-7,1,1930 Dec,Global
1931,Jan,-15,1,1931 Jan,Global
1931,Feb,-29,1,1931 Feb,Global
1931,Mar,-5,1,1931 Mar,Global
1931,Apr,-30,1,1931 Apr,Global
1931,May,-18,1,1931 May,Global
1931,Jun,-9,1,1931 Jun,Global
1931,Jul,6,1,1931 Jul,Global
1931,Aug,8,1,1931 Aug,Global
1931,Sep,-17,1,1931 Sep,Global
1931,Oct,4,1,1931 Oct,Global
1931,Nov,-17,1,1931 Nov,Global
1931,Dec,5,1,1931 Dec,Global
1932,Jan,33,1,1932 Jan,Global
1932,Feb,-29,1,1932 Feb,Global
1932,Mar,-22,1,1932 Mar,Global
1932,Apr,5,1,1932 Apr,Global
1932,May,-20,1,1932 May,Global
1932,Jun,-47,1,1932 Jun,Global
1932,Jul,-24,1,1932 Jul,Global
1932,Aug,-20,1,1932 Aug,Global
1932,Sep,4,1,1932 Sep,Global
1932,Oct,7,1,1932 Oct,Global
1932,Nov,-11,1,1932 Nov,Global
1932,Dec,-16,1,1932 Dec,Global
1933,Jan,-38,1,1933 Jan,Global
1933,Feb,-29,1,1933 Feb,Global
1933,Mar,-27,1,1933 Mar,Global
1933,Apr,-21,1,1933 Apr,Global
1933,May,-14,1,1933 May,Global
